source,date,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high
260910,2026-01-22,0.2056338028169014,0.1885245901639344,0.2238372093023256,False,other_axis_band,119.5,36.5,9.0,11.0,1.5,507.75224786541116,104.41102561739442,95.72378443364308,113.65384617917634
260910,2026-01-29,0.19559228650137742,0.17402597402597403,0.21994134897360704,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,129.0,35.5,8.0,7.5,1.5,517.2726025128876,101.17453107001383,90.01886848925577,113.76963398377293
260910,2026-02-05,0.2056338028169014,0.1830238726790451,0.23123123123123124,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,124.5,36.5,7.5,7.5,1.5,505.8611297993827,104.02214781790123,92.58466301368013,116.97089187553294
260910,2026-02-12,0.20448179271708683,0.1875,0.22254335260115607,False,other_axis_band,124.5,36.5,7.0,9.0,1.5,504.57879631625235,103.17717683777708,94.60852430929731,112.29065698367465
260910,2026-02-19,0.20170454545454544,0.18457300275482094,0.21994134897360704,False,other_axis_band,127.0,35.5,7.0,5.0,1.5,514.0991509637288,103.69613556370665,94.88882400707942,113.07166076914856
260910,2026-02-26,0.17402597402597403,0.1590909090909091,0.18983957219251338,False,other_axis_band,143.0,33.5,6.5,8.0,1.5,553.9292061215394,96.39806963673544,88.12510097388127,105.15768351505162
260910,2026-03-05,0.181058495821727,0.16486486486486487,0.19827586206896552,False,other_axis_band,131.5,32.5,6.0,8.0,1.5,514.0991509637288,93.0820189767197,84.75688705077691,101.93345234625657
260910,2026-03-12,0.18980169971671387,0.17307692307692307,0.20760233918128654,False,other_axis_band,131.5,33.5,6.0,4.0,1.5,520.4460540620464,98.78154567183317,90.07720166458495,108.04581824095115
260910,2026-03-19,0.18393782383419688,0.1642156862745098,0.20604395604395603,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,143.0,35.5,5.5,7.5,1.5,558.5274726519523,102.73432787121402,91.71897222470785,115.08121002444071
260910,2026-03-26,0.1815856777493606,0.162227602905569,0.2032520325203252,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,145.5,35.5,5.5,7.5,1.5,568.0478272994287,103.1493497142185,92.15303735850297,115.45687546736356
260910,2026-04-02,0.17892156862745098,0.16467780429594273,0.19395465994962216,False,other_axis_band,153.5,36.5,5.5,7.0,1.5,587.6748695472763,105.14770950233131,96.77700715695005,113.98227948398055
260910,2026-04-09,0.1848101265822785,0.16995073891625614,0.20052083333333334,False,other_axis_band,147.5,36.5,5.0,7.0,1.5,568.4346861549432,105.0524863020528,96.60589493766275,113.982996963361
