date,source,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high,A_accounts,C_accounts,weight_status,main_counterfactual,C_field_signed_excess,C_field_low,C_field_high,feasible,C_field_per_account,season,method,main_drift_assumed
2025-12-25,260910,0.18387909319899245,0.16273584905660377,0.20810810810810812,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,107.5,36.5,10.0,43.0,1.5,555.8629432867106,102.21157395448331,90.45882803486563,115.67958549480193,341835.0,289845.0,valid,74.96235515942757,27.24921879505574,15.496472875438059,40.71723033537435,True,9.401307179718725e-05,3,linear_total,0.0
2026-01-01,260910,0.16546762589928057,0.1463963963963964,0.18717948717948718,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,114.5,34.5,10.0,48.0,1.5,593.4354396926993,98.19435333044665,86.87680986492221,111.07894127581295,312624.0,283614.0,valid,73.70330049930794,24.491052831138703,13.173509365614265,37.37564077650501,True,8.635346926152694e-05,3,linear_total,0.0
2026-01-08,260910,0.183206106870229,0.1619047619047619,0.20765027322404372,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,108.5,36.0,10.0,40.5,1.5,563.0434258242125,103.15299404413054,91.15941180011059,116.91612120939932,296529.0,257052.0,valid,72.44424583918831,30.708748204942225,18.715165960922278,44.47187537021101,True,0.00011946512069519873,3,linear_total,0.0
2025-12-18,260910,0.1864406779661017,0.16272965879265092,0.21406727828746178,True,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,97.5,33.0,10.0,35.0,1.5,482.36463547214055,89.93238966429739,78.49503254402288,103.25848465764477,320480.0,,missing_challenger_count,83.84355080150193,6.0888388627954555,-5.348518257479057,19.414933856142838,True,,3,linear_total,0.1
2025-12-25,260910,0.18387909319899245,0.16273584905660377,0.20810810810810812,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,107.5,36.5,10.0,43.0,1.5,555.8629432867106,102.21157395448331,90.45882803486563,115.67958549480193,341835.0,289845.0,valid,82.45859067537033,19.752983279112982,8.000237359495301,33.220994819431596,True,6.815016053101824e-05,3,linear_total,0.1
2026-01-01,260910,0.16546762589928057,0.1463963963963964,0.18717948717948718,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,114.5,34.5,10.0,48.0,1.5,593.4354396926993,98.19435333044665,86.87680986492221,111.07894127581295,312624.0,283614.0,valid,81.07363054923874,17.120722781207903,5.803179315683465,30.00531072657421,True,6.0366282275232896e-05,3,linear_total,0.1
2026-01-08,260910,0.183206106870229,0.1619047619047619,0.20765027322404372,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,108.5,36.0,10.0,40.5,1.5,563.0434258242125,103.15299404413054,91.15941180011059,116.91612120939932,296529.0,257052.0,valid,79.68867042310715,23.464323621023382,11.470741377003435,37.22745078629217,True,9.128240052994485e-05,3,linear_total,0.1
2025-12-18,260910,0.1864406779661017,0.16272965879265092,0.21406727828746178,True,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,97.5,33.0,10.0,35.0,1.5,482.36463547214055,89.93238966429739,78.49503254402288,103.25848465764477,320480.0,,missing_challenger_count,76.05637114248985,13.876018521807538,2.4386614015330252,27.20211351515492,True,,3,flat_per_account,-0.1
2025-12-25,260910,0.18387909319899245,0.16273584905660377,0.20810810810810812,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,107.5,36.5,10.0,43.0,1.5,555.8629432867106,102.21157395448331,90.45882803486563,115.67958549480193,341835.0,289845.0,valid,81.12434357680048,21.08723037768283,9.334484458065148,34.55524191800144,True,7.275347298619203e-05,3,flat_per_account,-0.1
2026-01-01,260910,0.16546762589928057,0.1463963963963964,0.18717948717948718,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,114.5,34.5,10.0,48.0,1.5,593.4354396926993,98.19435333044665,86.87680986492221,111.07894127581295,312624.0,283614.0,valid,74.19198381193755,24.0023695185091,12.684826052984661,36.886957463875405,True,8.463041146949409e-05,3,flat_per_account,-0.1
