date,season,scenario,C_boss,M_boss,B_total,C_share,C_accounts,C_mean_per_100k,estimated_transfer_count,transferred_production_in_main,stage,cap_tier,season_boss_tier,assumption_only_share_lower,assumption_only_share_upper,C_tier1,M_tier1,C_tier2,M_tier2,C_tier3,M_tier3,C_tier4,M_tier4,C_tier5,M_tier5,C_tier6,M_tier6,C_tier7,M_tier7,A_accounts,M_mean_per_100k,scenario_share_min,scenario_share_max
2026-01-22,3,primary,27.839575359015946,322.58179703023785,350.4213723892538,0.07944599716963407,217437.0,12.803513366637668,8494.0,2.0362192680323394,post_leap,3,3,0.0,0.6806722689075629,9.166460159593349,35.00430106594284,18.673115199422593,105.00501623207873,0.0,70.6732179608579,0.0,58.894348300714924,0.0,17.668304490214474,0.0,35.33660898042895,0.0,0.0,274108.0,117.68419638618276,0.07211686702490525,0.1129392832712165
2026-01-29,3,primary,23.48895619783986,329.87713360644966,353.3660898042895,0.06647201549772117,193637.0,12.130406997546885,11900.0,3.244932644196083,post_leap,3,3,0.0,0.6666666666666666,6.029516073262733,35.19652773723771,17.459440124577128,106.2186913069242,0.0,70.6732179608579,0.0,61.839065715750664,0.0,17.668304490214474,0.0,38.281326395464696,0.0,0.0,266223.0,123.91008049884857,0.06034734371838837,0.0958289782863186
2026-02-05,3,primary,20.06980927798387,336.2409979413414,356.3108072193253,0.05632669251491439,179372.0,11.188930980300087,7132.5,3.920869004255127,post_leap,3,3,0.0,0.6611570247933883,3.129793402191383,35.151532993273314,16.94001587579249,106.73811555570884,0.0,73.61793537589365,0.0,64.78378313078642,0.0,17.668304490214474,0.0,38.281326395464696,0.0,0.0,257958.0,130.347187503912,0.04998468206849061,0.0913810989810007
2026-02-12,3,primary,19.221693576687226,345.9232658877453,365.14495946443253,0.052641267744405335,168935.0,11.37815939662428,5218.5,4.36838014979942,post_leap,3,3,0.0,0.6451612903225805,3.206515395991312,35.074810999473385,16.015178180695912,107.66295325080542,0.0,73.61793537589365,0.0,64.78378313078642,0.0,20.61302190525022,0.0,44.17076122553619,0.0,0.0,257515.0,134.3313072588957,0.04562426708539238,0.08754434884042737
2026-02-19,3,primary,16.542665336271824,354.4917289582322,371.034394294504,0.044585261071892125,154821.0,10.685026796282044,7057.0,4.988903615946244,post_leap,3,3,0.0,0.6349206349206349,3.225615955310553,35.055710440154144,13.31704938096127,107.41636463550432,0.0,76.56265279092939,0.0,67.72850054582216,0.0,20.61302190525022,0.0,47.115478640571936,0.0,0.0,254819.0,139.1151087470841,0.037180550315793745,0.08404374372885798
2026-02-26,3,primary,14.638933592694677,359.34017811684504,373.9791117095397,0.039143719887928856,148798.0,9.838125238709308,3011.5,5.22138276344254,post_leap,3,3,0.0,0.6299212598425197,0.5242065239205772,34.81240245650837,14.1147270687741,109.56340436272723,0.0,76.56265279092939,0.0,67.72850054582216,0.0,23.557739320285968,0.0,47.115478640571936,0.0,0.0,251789.0,142.71480410853732,0.030549157183816948,0.08029609155674794
2026-03-05,3,primary,11.25408041551242,362.7250312940273,373.9791117095397,0.030092804820214623,139917.0,8.043397453856514,4440.5,5.544765410605235,post_leap,3,3,0.0,0.6220472440944882,0.6348163684447613,34.70179261198419,10.61926404706764,107.1694325543622,1.601424544316442e-14,79.50737020596513,0.0,70.6732179608579,0.0,23.557739320285968,0.0,47.115478640571936,0.0,0.0,248384.0,146.03397613937585,0.02021776795962471,0.07724054128686239
2026-03-12,3,primary,15.34212480886753,367.47113914577943,382.81326395464697,0.040077307276074836,132277.0,11.598482584929753,3820.0,5.762847809742066,post_leap,3,3,0.0,0.6230769230769231,0.8919825868748316,34.44462639355412,14.450142221992698,109.22798920950864,0.0,79.50737020596515,0.0,73.61793537589365,0.0,23.557739320285968,0.0,47.115478640571936,0.0,0.0,244263.0,150.44077045880033,0.028826443416065304,0.0877253741897492
2026-03-19,3,primary,29.72568096578164,391.36890938433,421.0945903501116,0.0705914577080336,138000.0,21.540348525928724,0.0,5.734033570693355,post_leap,3,3,0.0,0.6153846153846154,3.8464288495186993,34.434897545945994,18.284570793058073,111.28299546851477,7.594681323204864,83.69155854290327,0.0,79.50737020596515,0.0,26.502456735321715,0.0,55.94963088567918,0.0,0.0,279166.0,140.19218292497294,0.05045916304979586,0.12105117783079163
2026-03-26,3,primary,32.43155472289299,388.6630356272186,421.0945903501116,0.0770172675358483,154628.0,20.97392110283583,0.0,5.705363402839887,post_leap,3,3,0.0,0.6153846153846154,6.982397883799749,34.243645926700694,17.820383626887125,108.80246521964996,7.628773212206117,83.65746665390202,0.0,79.50737020596515,0.0,26.502456735321715,0.0,55.94963088567918,0.0,0.0,327578.0,118.64747804407457,0.05248271561630171,0.13374074276908837
