date,season,stage,weight_status,A_accounts,C_accounts,M_boss,C_boss,B_total,bM_per_account,bC_per_account,w,E_main_equivalent_accounts,C_weighted_contribution,w_scenario_min,w_scenario_max,w_assumption_only_lower,w_assumption_only_upper,w_assumption_upper_unbounded,identity_relative_error,main_productivity_index,challenger_productivity_index
2026-01-15,3,post_leap,valid,284602.0,234425.0,310.49004723331734,31.097172910829237,341.58722014414656,0.0010909622814784061,0.00013265297178555717,0.12159262885403689,313106.3520191076,28504.3520191076,0.11099450916644005,0.16363378736806142,0.0,2.809642072548331,False,1.9876070711010453e-16,153.95386688893797,18.719655397270433
2026-01-22,3,post_leap,valid,274108.0,217437.0,322.58179703023785,27.839575359015946,350.4213723892538,0.0011768419638618277,0.0001280351336663767,0.10879552021260963,297764.1715284692,23656.1715284692,0.0979787364946516,0.16050181345169215,0.0,2.687136237647056,False,0.0,166.072992741946,18.067997638624956
2026-01-29,3,post_leap,valid,266223.0,193637.0,329.87713360644966,23.48895619783986,353.3660898042895,0.0012391008049884857,0.00012130406997546885,0.09789685349820756,285179.45302083244,18956.453020832418,0.08829742539515682,0.14571474524864167,0.0,2.7497120901480603,False,0.0,174.85880459099,17.11812677591585
2026-02-05,3,post_leap,valid,257958.0,179372.0,336.2409979413414,20.06980927798387,356.3108072193253,0.0013034718750391202,0.00011188930980300087,0.08583945073586095,273355.1939573928,15397.19395739285,0.07566598270083517,0.14463352154136463,0.0,2.8060827940081454,False,1.6635605159535414e-16,183.94268889966122,15.78953938202427
2026-02-12,3,post_leap,valid,257515.0,168935.0,345.9232658877453,19.221693576687226,365.14495946443253,0.001343313072588957,0.0001137815939662428,0.08470221595249751,271824.1688519352,14309.168851935166,0.0728717850851787,0.1462511355179476,0.0,2.771533968148049,False,0.0,189.56497899017785,16.056573787456696
2026-02-19,3,post_leap,valid,254819.0,154821.0,354.4917289582322,16.542665336271824,371.034394294504,0.0013911510874708409,0.00010685026796282044,0.07680709085098571,266710.35061264044,11891.350612640457,0.06355839146644969,0.15101934948958765,0.0,2.8624248536107477,False,0.0,196.31575992953,15.078442408387712
2026-02-26,3,post_leap,valid,251789.0,148798.0,359.34017811684504,14.638933592694677,373.9791117095397,0.0014271480410853732,9.838125238709308e-05,0.06893556208245381,262046.47376674495,10257.473766744963,0.05332281882608306,0.14773589698955975,0.0,2.8802606303619385,False,0.0,201.3955599366109,13.883316125140789
2026-03-05,3,post_leap,valid,248384.0,139917.0,362.7250312940273,11.25408041551242,373.9791117095397,0.0014603397613937585,8.043397453856514e-05,0.05507894578026033,256090.48085673669,7706.480856736685,0.036631675247556214,0.1485969635019416,0.0,2.9217226403272414,False,0.0,206.07949243998513,11.350641190525511
2026-03-12,3,post_leap,valid,244263.0,132277.0,367.47113914577943,15.34212480886753,382.81326395464697,0.0015044077045880033,0.00011598482584929754,0.0770966709992097,254461.11634976245,10198.11634976246,0.05481097960472788,0.1775713857601358,0.0,3.052546503757653,False,0.0,212.29825029786653,16.367488356922486
2026-03-19,3,post_leap,valid,279166.0,138000.0,391.36890938433,29.72568096578164,421.0945903501116,0.0014019218292497294,0.00021540348525928723,0.15364871333415597,300369.52244011353,21203.522440113524,0.10750033880450961,0.27860497575701254,0.0,3.2367072463768123,False,0.0,197.83570005420145,30.397200764890066
