x_pixel,date,field_y_v2,azmoth_y_v2,read_total_v2,field_y_v1,azmoth_y_v1,read_total_v1
1100,2024-10-30T06:24:59.740708702,715,771,249.56362988520732,715,789,241.2602189093594
1103,2024-11-02T01:05:57.821953306,718,785,246.33452561682202,718,785,246.334525616822
1106,2024-11-04T18:26:26.862575600,718,768,250.94753171451532,718,768,250.9475317145153
1109,2024-11-07T11:46:55.903197903,718,771,235.26331098235812,718,771,235.2633109823581
1112,2024-11-10T05:07:24.943820197,718,773,230.65030488466482,718,773,230.6503048846648
1115,2024-11-12T22:27:53.984442501,717,774,230.65030488466482,717,774,230.6503048846648
1118,2024-11-15T15:48:23.025064795,717,775,229.72770366512614,717,775,229.7277036651261
1121,2024-11-18T09:08:52.065687098,717,774,229.72770366512614,717,774,229.7277036651261
1124,2024-11-21T02:29:21.106309393,725,772,226.95990000651017,725,772,226.95990000651017
1127,2024-11-23T19:49:50.146931696,731,770,226.49859939674084,731,770,226.49859939674084
1130,2024-11-26T13:10:19.187553990,728,768,239.8763170800514,728,790,229.7277036651261
1133,2024-11-29T06:30:48.228176294,725,765,246.79582622659134,725,765,246.79582622659132
1136,2024-12-02T00:38:59.844425207,718,763,251.40883232428465,718,763,251.40883232428465
1139,2024-12-04T20:10:09.853068254,711,760,253.25403476336197,711,760,253.254034763362
1142,2024-12-07T15:41:19.861711292,704,759,256.0218384219779,704,790,241.72151951912872
1145,2024-12-10T11:12:29.870354338,699,759,260.6348445196712,699,759,260.6348445196712
1148,2024-12-13T06:43:39.878997385,698,757,266.6317524466725,698,757,266.6317524466725
1151,2024-12-16T02:14:49.887640422,692,756,289.2354823253697,692,790,273.5512615932125
1154,2024-12-18T21:45:59.896283469,684,753,298.0001939109869,684,774,288.312881105831
1157,2024-12-21T17:17:09.904926507,682,754,331.2138378143787,682,754,331.2138378143787
1160,2024-12-24T12:48:19.913569554,673,752,346.8980585465359,673,752,346.8980585465359
1163,2024-12-27T08:19:29.922212591,669,749,365.3500829373091,669,749,365.3500829373091
1166,2024-12-30T03:50:39.930855638,669,746,380.57300305969693,669,715,394.8733219625462
1169,2025-01-01T23:21:49.939498675,674,745,381.0343036694663,674,745,381.0343036694663
1172,2025-01-04T18:52:59.948141722,677,744,380.11170244992763,677,744,380.1117024499276
1175,2025-01-07T14:24:09.956784759,679,744,374.5760951326957,679,744,374.5760951326957
1178,2025-01-10T09:55:19.965427806,680,742,370.88569025454103,680,719,381.4956042792356
1181,2025-01-13T05:26:29.974070843,679,741,369.50178842523303,679,725,376.8825981815423
1184,2025-01-16T00:57:39.982713890,677,739,373.1921933033877,677,739,373.1921933033877
1187,2025-01-18T20:28:49.991356928,677,737,376.8825981815423,677,737,376.8825981815423
1190,2025-01-21T15:59:59.999999974,677,737,375.95999696200363,677,737,375.9599969620036
1193,2025-01-24T11:31:10.008643012,676,736,374.11479452292633,676,736,374.11479452292633
1196,2025-01-27T07:02:20.017286058,677,735,375.037395742465,677,735,375.037395742465
1199,2025-01-30T02:33:30.025929096,677,732,384.72470854762093,677,732,384.7247085476209
1202,2025-02-01T19:56:28.418323225,678,732,399.48632806023943,678,732,399.4863280602394
1205,2025-02-04T08:55:35.522904033,679,732,396.25722379185413,679,732,396.2572237918541
1208,2025-02-06T21:54:42.627484850,682,729,379.6504018401583,682,718,384.7247085476209
1211,2025-02-09T10:53:49.732065666,681,731,373.1921933033877,681,731,373.1921933033877
1214,2025-02-11T23:52:56.836646474,679,731,372.26959208384903,679,744,366.2726841568477
1217,2025-02-14T12:52:03.941227291,676,730,374.5760951326957,676,730,374.5760951326957
1220,2025-02-17T01:51:11.045808099,668,729,381.0343036694663,668,729,381.0343036694663
1223,2025-02-19T14:50:18.150388915,661,727,387.4925122062369,661,727,387.4925122062369
1226,2025-02-22T03:49:25.254969723,659,725,393.02811952346883,659,725,393.0281195234688
1229,2025-02-24T16:48:32.359550539,661,730,399.48632806023943,661,737,396.2572237918541
1232,2025-02-27T05:47:39.464131348,665,721,404.5606347677021,665,721,404.5606347677021
1235,2025-03-01T20:47:30.129645610,670,717,404.09933415793273,670,717,404.09933415793273
1238,2025-03-04T16:18:40.138288647,670,721,378.72780062061963,670,735,372.269592083849
1241,2025-03-07T11:49:50.146931694,673,722,365.3500829373091,673,746,354.2788683028451
1244,2025-03-10T07:21:00.155574732,675,720,364.42748171777043,675,720,364.4274817177704
1247,2025-03-13T02:52:10.164217778,677,719,363.5048804982317,677,719,363.5048804982317
1250,2025-03-15T22:23:20.172860816,679,719,364.88878232753973,679,719,364.8887823275397
1253,2025-03-18T17:54:30.181503863,679,719,367.1952853763864,679,719,367.1952853763864
1256,2025-03-21T13:25:40.190146900,680,718,369.9630890350024,680,718,369.9630890350024
1259,2025-03-24T08:56:50.198789947,681,718,373.653493913157,681,718,373.653493913157
1262,2025-03-27T04:28:00.207432984,682,717,380.11170244992763,682,717,380.1117024499276
